Timestamp,Open,High,Low,Close,Volume,Symbol
"Jun 11, 2020",9870.08,9938.30,9263.07,9321.78,30247143440.00,BTC/USD
"Jun 12, 2020",9320.69,9540.47,9285.85,9480.84,22610564515.00,BTC/USD
"Jun 13, 2020",9480.74,9493.21,9396.01,9475.28,17564322315.00,BTC/USD
"Jun 14, 2020",9477.55,9482.27,9347.59,9386.79,18991732746.00,BTC/USD
"Jun 15, 2020",9386.04,9504.86,8990.18,9450.70,26699704768.00,BTC/USD
"Jun 16, 2020",9454.27,9579.43,9400.45,9538.02,21565537209.00,BTC/USD
"Jun 17, 2020",9533.78,9540.42,9327.34,9480.26,20177709879.00,BTC/USD
"Jun 18, 2020",9481.57,9482.78,9328.40,9411.84,17770083003.00,BTC/USD
"Jun 19, 2020",9410.29,9440.88,9274.30,9288.02,19632223107.00,BTC/USD
"Jun 20, 2020",9290.96,9394.97,9247.38,9332.34,17130541557.00,BTC/USD
"Jun 21, 2020",9330.93,9401.11,9300.43,9303.63,15324301169.00,BTC/USD
"Jun 22, 2020",9300.92,9655.07,9296.87,9648.72,21104009514.00,BTC/USD
"Jun 23, 2020",9644.08,9670.54,9547.25,9629.66,17006433272.00,BTC/USD
"Jun 24, 2020",9632.15,9680.37,9278.23,9313.61,18961716076.00,BTC/USD
"Jun 25, 2020",9314.13,9340.16,9095.32,9264.81,18616048626.00,BTC/USD
"Jun 26, 2020",9260.99,9310.52,9101.74,9162.92,18341465837.00,BTC/USD
"Jun 27, 2020",9167.82,9207.81,8998.22,9045.39,17273093144.00,BTC/USD
"Jun 28, 2020",9048.46,9197.55,8975.53,9143.58,14560870760.00,BTC/USD
"Jun 29, 2020",9140.03,9237.57,9041.88,9190.85,16460547078.00,BTC/USD
"Jun 30, 2020",9185.58,9217.84,9084.84,9137.99,15735797744.00,BTC/USD
"Jul 01, 2020",9145.99,9309.75,9104.73,9228.33,15971550355.00,BTC/USD
"Jul 02, 2020",9231.14,9274.96,9036.62,9123.41,16338916796.00,BTC/USD
"Jul 03, 2020",9124.84,9202.34,9058.79,9087.30,13078970999.00,BTC/USD
"Jul 04, 2020",9084.23,9183.30,9053.63,9132.49,12290528515.00,BTC/USD
"Jul 05, 2020",9126.09,9162.18,8977.02,9073.94,12903406143.00,BTC/USD
"Jul 06, 2020",9072.85,9375.47,9058.66,9375.47,17889263252.00,BTC/USD
"Jul 07, 2020",9349.16,9360.62,9201.82,9252.28,13839652595.00,BTC/USD
"Jul 08, 2020",9253.02,9450.34,9249.50,9428.33,19702359883.00,BTC/USD
"Jul 09, 2020",9427.99,9431.38,9235.00,9277.97,18000702524.00,BTC/USD
"Jul 10, 2020",9273.36,9287.47,9118.00,9278.81,16860035605.00,BTC/USD
"Jul 11, 2020",9277.51,9293.53,9199.49,9240.35,13249910444.00,BTC/USD
"Jul 12, 2020",9241.06,9319.42,9197.45,9276.50,14452361907.00,BTC/USD
"Jul 13, 2020",9277.20,9306.40,9224.29,9243.61,17519821266.00,BTC/USD
"Jul 14, 2020",9238.70,9283.84,9171.66,9243.21,18085038362.00,BTC/USD
"Jul 15, 2020",9241.90,9275.33,9171.93,9192.84,15844731575.00,BTC/USD
"Jul 16, 2020",9191.98,9214.31,9088.95,9132.23,15713967523.00,BTC/USD
"Jul 17, 2020",9131.81,9182.25,9089.20,9151.39,13944570749.00,BTC/USD
"Jul 18, 2020",9151.18,9230.98,9100.82,9159.04,12252601475.00,BTC/USD
"Jul 19, 2020",9158.01,9201.40,9097.63,9185.82,12939002784.00,BTC/USD
"Jul 20, 2020",9187.22,9214.27,9137.51,9164.23,13755604146.00,BTC/USD
"Jul 21, 2020",9162.51,9407.26,9149.39,9374.89,18069581956.00,BTC/USD
"Jul 22, 2020",9375.08,9530.52,9319.65,9525.36,16532254884.00,BTC/USD
"Jul 23, 2020",9527.14,9610.25,9483.00,9581.07,18146399002.00,BTC/USD
"Jul 24, 2020",9585.51,9623.34,9481.45,9536.89,16552768325.00,BTC/USD
"Jul 25, 2020",9539.49,9704.56,9530.21,9677.11,16610070933.00,BTC/USD
"Jul 26, 2020",9680.23,10023.81,9652.85,9905.17,20507998997.00,BTC/USD
"Jul 27, 2020",9905.22,11298.22,9903.97,10990.87,35359749590.00,BTC/USD
"Jul 28, 2020",11017.46,11204.33,10632.63,10912.82,28766551142.00,BTC/USD
"Jul 29, 2020",10912.95,11304.40,10856.14,11100.47,24617249715.00,BTC/USD
"Jul 30, 2020",11099.83,11169.36,10895.46,11111.21,22857247901.00,BTC/USD
"Jul 31, 2020",11110.21,11415.86,10987.05,11323.47,23160469766.00,BTC/USD
"Aug 01, 2020",11322.57,11794.78,11239.68,11759.59,26075670303.00,BTC/USD
"Aug 02, 2020",11758.76,12034.14,11018.13,11053.61,27410067336.00,BTC/USD
"Aug 03, 2020",11043.77,11453.08,11012.41,11246.35,20271713443.00,BTC/USD
"Aug 04, 2020",11246.20,11385.38,11094.15,11205.89,21250197042.00,BTC/USD
"Aug 05, 2020",11203.82,11786.62,11158.29,11747.02,24411254471.00,BTC/USD
"Aug 06, 2020",11749.87,11902.34,11598.71,11779.77,23400740340.00,BTC/USD
"Aug 07, 2020",11778.89,11898.04,11408.59,11601.47,23132312867.00,BTC/USD
"Aug 08, 2020",11604.55,11800.06,11558.43,11754.05,17572057837.00,BTC/USD
"Aug 09, 2020",11737.33,11806.06,11548.78,11675.74,17489608833.00,BTC/USD
"Aug 10, 2020",11662.26,12045.14,11662.26,11878.11,26114112569.00,BTC/USD
"Aug 11, 2020",11881.65,11932.71,11195.71,11410.53,27039782640.00,BTC/USD
